AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
6.47,0.0,5.59,3.82,4.71,4.41,1.18,10.59,8.53,12.94,4.71,5.88,2.94,1.76,2.35,8.82,4.41,7.06,1.18,2.65
5.13,8.97,7.69,8.97,3.85,5.13,0.0,1.28,5.13,8.97,2.56,3.85,0.0,5.13,8.97,8.97,5.13,8.97,0.0,1.28
9.13,6.39,7.76,2.28,4.11,8.68,2.74,2.28,3.2,9.13,1.83,4.57,4.11,3.2,6.39,9.13,5.94,2.74,1.37,5.02
6.25,11.25,2.5,2.5,3.75,6.25,2.5,3.75,10.0,11.25,2.5,3.75,3.75,0.0,5.0,10.0,7.5,5.0,1.25,1.25
8.82,2.77,5.16,5.42,2.64,8.44,3.27,3.15,3.02,8.31,1.01,4.16,6.05,5.16,5.79,7.68,6.93,7.3,2.14,2.77
8.96,1.04,5.83,6.04,5.83,5.83,3.12,5.83,5.0,10.83,1.46,3.33,5.83,2.5,4.79,7.08,5.62,5.42,1.67,3.96
7.08,1.36,2.45,7.36,2.18,8.72,1.63,6.54,5.99,9.81,3.54,3.27,4.36,4.63,5.99,8.45,4.9,5.45,2.18,4.09
13.41,1.22,7.32,8.54,3.66,7.32,1.22,6.1,2.44,7.32,4.88,1.22,6.1,2.44,4.88,4.88,4.88,8.54,1.22,2.44
10.17,1.69,5.27,7.72,2.07,6.78,2.82,7.72,7.53,11.68,2.07,3.39,2.64,3.58,5.27,3.95,4.9,9.04,0.19,1.51
6.9,12.64,4.6,2.3,3.45,4.6,1.15,2.3,8.05,8.05,2.3,9.2,5.75,1.15,4.6,8.05,5.75,4.6,1.15,3.45
6.45,1.39,5.27,6.93,3.81,6.1,3.12,5.69,5.34,6.31,2.43,4.09,6.24,4.09,5.13,9.5,6.52,6.73,1.53,3.33
16.55,1.44,2.88,4.32,4.32,8.63,5.04,2.88,0.72,8.63,2.16,1.44,5.04,3.6,7.19,5.04,7.19,10.07,0.72,2.16
7.39,1.56,5.84,6.61,5.06,5.06,1.95,5.06,5.06,10.89,1.95,4.28,4.67,5.84,5.84,5.84,6.61,5.84,1.56,3.11
7.48,0.92,7.87,5.12,3.94,10.5,3.28,4.07,2.89,7.35,1.84,3.94,5.12,2.89,5.91,7.61,5.51,6.69,3.02,4.07
5.22,8.21,0.75,8.21,2.24,4.48,0.75,3.73,2.24,7.46,0.75,4.48,4.48,4.48,10.45,9.7,13.43,6.72,1.49,0.75
13.48,0.71,7.09,2.13,3.55,5.67,3.55,4.26,1.42,14.18,0.71,2.13,4.26,2.13,9.22,2.84,7.8,12.06,2.13,0.71
16.58,3.77,2.01,1.26,3.77,6.28,2.51,1.51,1.26,13.82,1.76,2.76,9.05,2.26,7.79,6.78,3.52,8.04,2.01,3.27
15.72,0.46,4.56,4.33,2.05,13.44,1.14,5.24,6.38,8.88,3.19,4.33,5.01,2.05,3.87,3.64,4.33,7.97,0.68,2.73
7.95,0.92,5.5,8.26,5.81,6.73,3.98,7.03,4.89,8.26,3.06,4.59,3.67,2.14,5.2,4.89,6.42,8.26,0.61,1.83
5.92,0.3,6.53,5.46,6.68,5.46,1.21,5.92,5.31,8.35,1.52,6.68,4.1,4.4,4.86,8.35,7.13,5.46,1.21,5.16
6.07,4.27,6.07,4.72,4.04,7.42,3.15,3.15,4.49,10.34,3.15,3.6,5.84,5.17,6.29,10.11,5.39,5.17,0.22,1.35
6.43,0.8,4.02,6.43,5.22,4.42,1.61,6.83,6.02,11.24,5.22,4.02,4.82,6.43,4.82,5.22,4.02,8.43,0.8,3.21
11.76,13.73,7.84,5.88,3.92,1.96,1.96,7.84,0.0,9.8,1.96,3.92,3.92,3.92,1.96,7.84,3.92,5.88,0.0,1.96
2.87,0.52,7.05,5.22,1.57,4.96,1.31,9.14,7.57,7.83,2.09,9.4,3.92,6.27,1.31,7.83,8.88,3.92,1.83,6.53
10.87,0.54,2.72,4.89,2.72,7.07,3.8,5.43,8.15,10.33,1.63,3.8,3.8,5.43,3.8,6.52,5.98,2.17,2.17,8.15
8.44,0.0,7.01,4.74,3.22,11.28,1.42,5.69,9.38,11.18,0.47,7.01,1.42,3.79,3.51,7.39,6.07,3.98,0.47,3.51
7.58,0.95,7.58,5.69,4.11,10.27,1.74,5.37,6.32,7.74,2.05,5.53,4.58,2.69,3.48,7.58,4.74,5.21,1.74,5.06
6.28,0.48,3.86,15.46,1.93,11.11,0.0,4.35,8.7,7.25,5.31,6.76,0.0,3.86,10.63,4.35,0.97,7.25,0.48,0.97
11.22,1.43,5.49,6.92,2.63,9.55,2.15,7.4,4.77,9.07,2.39,2.86,3.82,2.86,5.97,4.06,6.44,9.31,0.48,1.19
3.68,0.31,6.2,6.89,4.52,4.59,1.15,10.26,8.19,9.04,1.0,10.18,3.6,2.91,3.45,7.66,6.05,3.98,1.23,5.13
7.79,14.29,1.3,3.9,0.0,1.3,1.3,3.9,5.19,7.79,2.6,0.0,7.79,5.19,14.29,7.79,7.79,3.9,2.6,1.3
8.7,1.49,7.22,8.28,3.18,5.94,4.03,5.52,5.1,8.07,2.55,4.25,4.25,3.82,6.79,4.03,4.88,6.37,1.7,3.82
3.33,10.0,4.44,5.56,3.33,12.22,0.0,7.78,11.11,4.44,3.33,4.44,2.22,2.22,0.0,7.78,3.33,4.44,3.33,6.67
8.93,0.89,6.25,7.14,3.12,7.59,2.68,4.46,5.36,8.93,2.68,1.79,5.36,4.91,5.8,6.7,3.57,6.25,2.68,4.91
5.63,2.16,3.46,4.33,4.76,5.19,1.3,9.09,6.06,8.66,2.6,5.63,6.93,5.19,3.9,9.09,6.93,3.9,2.6,2.6
4.53,0.97,6.47,8.09,4.53,3.24,2.27,7.44,5.83,10.03,1.94,5.5,4.21,4.85,2.59,8.74,8.09,5.5,0.32,4.85
2.63,21.05,5.26,10.53,0.0,15.79,2.63,5.26,0.0,0.0,2.63,2.63,2.63,0.0,2.63,13.16,0.0,2.63,7.89,2.63
7.69,10.26,3.85,2.56,5.13,8.97,2.56,14.1,5.13,5.13,3.85,2.56,8.97,2.56,2.56,5.13,3.85,2.56,0.0,2.56
6.64,1.66,6.64,4.56,3.18,3.87,3.46,5.81,4.56,7.61,2.77,3.6,6.78,3.46,5.12,14.11,8.58,4.15,0.83,2.63
9.85,1.82,5.66,7.66,2.74,7.48,1.82,6.2,7.85,8.94,3.1,4.38,3.28,2.92,3.1,5.66,5.47,8.94,0.55,2.55
5.96,7.28,6.62,7.28,6.62,4.64,0.66,3.97,5.3,9.27,1.32,2.65,5.96,2.65,9.93,5.3,5.96,6.62,0.0,1.99
20.77,0.77,10.77,4.62,3.08,6.92,1.54,2.31,2.31,11.54,1.54,3.08,1.54,3.08,6.15,2.31,5.38,6.92,2.31,3.08
6.63,0.35,4.01,4.89,2.79,5.58,1.92,4.19,3.14,5.58,2.97,4.01,14.14,4.54,7.85,12.74,6.63,3.32,0.17,4.54
19.27,0.0,5.5,7.34,0.92,7.34,3.67,2.75,1.83,11.01,3.67,1.83,0.0,4.59,11.01,3.67,4.59,9.17,0.92,0.92
11.61,0.6,6.25,6.55,2.98,4.46,0.6,3.57,4.46,11.31,2.38,2.68,3.27,5.95,5.65,7.74,5.65,7.74,1.79,4.76
13.29,0.23,8.04,6.34,3.25,7.11,2.55,3.32,3.94,11.75,1.08,1.93,5.02,4.17,7.65,5.33,6.18,5.95,1.24,1.62
10.68,0.0,4.85,4.85,4.85,5.83,2.91,6.8,1.94,7.77,1.94,1.94,3.88,3.88,8.74,5.83,5.83,11.65,2.91,2.91
4.19,1.4,3.63,5.87,5.31,3.63,3.07,6.98,4.75,9.5,1.4,6.7,7.26,5.03,4.75,8.1,7.26,7.54,0.56,3.07
4.8,0.0,6.27,8.49,7.38,4.06,3.32,4.06,7.01,9.23,3.32,7.75,2.95,2.95,4.06,7.38,5.9,3.69,0.37,7.01
15.56,3.33,7.78,3.33,0.0,16.67,7.78,0.0,4.44,8.89,1.11,1.11,3.33,1.11,11.11,7.78,3.33,2.22,0.0,1.11
5.79,2.48,13.22,7.44,4.96,4.96,2.48,5.79,7.44,10.74,2.48,1.65,4.13,2.48,2.48,6.61,1.65,5.79,0.83,6.61
11.34,2.06,7.22,4.12,2.06,5.15,7.22,6.19,2.06,8.25,2.06,4.12,7.22,1.03,13.4,4.12,2.06,6.19,0.0,4.12
6.72,5.97,5.22,4.48,6.72,5.22,1.49,1.49,6.72,8.21,2.99,6.72,2.24,2.24,3.73,5.97,8.96,11.94,0.0,2.99
11.46,6.37,4.46,3.18,1.91,8.92,2.55,4.46,1.27,6.37,2.55,2.55,6.37,4.46,8.28,4.46,4.46,10.83,1.27,3.82
4.08,10.2,5.1,3.06,2.04,9.18,0.0,3.06,3.06,11.22,2.04,5.1,9.18,4.08,7.14,9.18,10.2,2.04,0.0,0.0
7.91,1.9,6.65,4.43,3.48,7.28,3.48,6.33,4.11,7.91,1.9,6.01,3.8,2.22,2.85,7.59,7.91,7.91,2.85,3.48
9.71,8.74,4.85,8.74,0.0,6.8,0.97,1.94,5.83,11.65,5.83,3.88,2.91,3.88,9.71,4.85,0.97,4.85,0.97,2.91
5.97,1.49,3.73,5.22,2.99,3.73,2.24,10.45,5.97,11.94,2.99,8.21,2.99,5.97,5.22,3.73,5.22,4.48,2.99,4.48
5.47,8.59,6.25,6.25,2.34,7.03,2.34,5.47,7.81,5.47,4.69,5.47,10.16,1.56,1.56,4.69,3.91,6.25,0.78,3.91
12.96,12.96,3.7,0.0,7.41,5.56,0.0,9.26,5.56,5.56,3.7,5.56,5.56,0.0,3.7,5.56,7.41,3.7,1.85,0.0
5.33,11.24,7.1,8.28,1.18,7.69,0.59,2.96,5.33,4.14,2.37,4.73,5.33,6.51,2.96,7.1,4.14,8.28,0.0,4.73
9.85,0.22,3.72,3.72,2.19,4.16,0.66,6.35,8.32,9.63,0.88,9.41,1.53,4.38,3.94,8.32,9.19,6.13,1.75,5.69
4.29,8.57,0.0,7.14,2.86,7.14,1.43,8.57,11.43,14.29,2.86,5.71,5.71,1.43,2.86,8.57,2.86,2.86,1.43,0.0
7.84,2.61,4.85,3.36,7.46,6.34,1.12,7.09,5.6,8.96,1.87,8.58,7.09,3.73,2.61,4.48,7.09,4.48,2.24,2.61
10.09,0.0,8.26,1.83,2.75,6.42,0.92,6.42,1.83,9.17,2.75,0.0,6.42,0.92,11.01,6.42,13.76,9.17,0.0,1.83
11.97,0.0,12.82,9.4,0.0,5.13,2.56,5.13,3.42,5.98,3.42,1.71,5.98,0.85,10.26,5.98,3.42,5.98,3.42,2.56
10.42,0.0,3.27,6.25,2.98,9.52,1.79,1.79,3.57,21.43,0.89,0.6,5.65,4.76,6.85,3.87,4.46,8.93,0.6,2.38
12.16,0.0,14.86,5.41,0.0,2.7,0.0,5.41,4.05,14.86,1.35,1.35,5.41,4.05,13.51,2.7,5.41,4.05,2.7,0.0
8.7,0.91,7.45,5.08,2.86,9.68,3.27,2.65,3.2,8.7,0.97,2.86,3.97,5.64,8.84,4.67,7.24,6.27,2.79,4.25
14.29,1.95,6.49,6.49,0.65,5.19,0.65,4.55,4.55,9.09,1.95,5.19,0.65,5.19,11.69,1.95,8.44,6.49,0.65,3.9
5.13,0.0,11.54,8.97,10.26,3.85,0.0,3.85,5.13,8.97,2.56,3.85,5.13,5.13,7.69,3.85,5.13,8.97,0.0,0.0
5.83,1.67,6.67,7.5,5.0,6.67,2.08,12.5,10.0,6.25,0.83,6.67,1.67,1.67,3.75,6.25,3.33,8.75,0.42,2.5
5.94,0.7,3.5,5.59,3.15,8.39,2.45,3.85,3.5,7.34,1.05,6.64,2.45,6.29,2.8,8.74,9.44,10.49,3.15,4.55
10.26,5.13,5.13,1.28,0.0,10.26,0.0,6.41,2.56,6.41,2.56,3.85,2.56,5.13,6.41,10.26,8.97,11.54,0.0,1.28
1.11,0.0,6.67,6.67,4.44,3.33,1.11,11.11,16.67,8.89,1.11,4.44,5.56,1.11,10.0,3.33,2.22,7.78,1.11,3.33
7.05,0.73,4.55,5.73,3.38,6.31,1.32,9.84,3.23,14.68,3.23,2.2,4.11,4.7,5.87,6.9,5.29,8.37,1.03,1.47
5.59,1.96,5.59,3.07,3.91,8.38,2.51,3.07,8.66,7.54,2.23,6.7,4.47,4.19,1.68,9.22,5.87,8.1,2.51,4.75
1.71,1.71,5.98,11.97,4.27,7.69,1.71,7.69,11.11,11.11,2.56,5.98,1.71,2.56,1.71,2.56,5.13,8.55,1.71,2.56
4.76,0.0,6.12,8.84,4.08,2.72,2.04,11.56,4.76,14.29,1.36,5.44,3.4,6.8,4.08,6.8,4.76,2.72,0.0,5.44
4.08,1.02,10.2,5.1,8.16,2.04,0.0,7.14,4.08,10.2,4.08,6.12,3.06,2.04,5.1,11.22,4.08,5.1,0.0,7.14
9.38,3.69,3.12,4.83,8.52,3.98,4.55,3.98,2.84,11.65,0.57,1.14,4.83,5.11,4.55,5.11,5.11,8.81,1.7,6.53
10.48,1.61,3.23,5.65,4.84,4.03,3.23,9.68,8.87,7.26,3.23,5.65,2.42,4.03,2.42,5.65,8.06,4.84,0.81,4.03
2.31,0.77,3.85,7.69,6.15,5.38,2.31,5.38,3.08,6.92,5.38,3.85,6.92,6.15,10.0,10.77,1.54,8.46,0.0,3.08
3.9,4.61,5.32,3.9,1.77,8.16,3.19,7.45,6.03,9.93,2.13,4.61,4.96,4.26,2.13,9.22,5.32,7.45,2.13,3.55
8.5,3.55,2.78,5.1,5.56,10.05,1.85,4.33,4.02,10.2,2.32,2.16,6.96,4.64,4.79,5.87,5.41,6.03,2.47,3.4
5.65,0.56,6.78,9.04,3.39,3.95,1.13,5.65,6.21,14.69,2.82,3.95,2.26,4.52,3.95,7.34,3.95,9.04,0.56,4.52
17.78,1.48,8.15,5.93,2.22,5.93,1.48,7.41,0.74,9.63,0.74,1.48,2.96,2.22,8.15,4.44,5.19,9.63,0.74,3.7
6.15,0.77,7.18,5.38,5.13,2.82,4.36,6.41,4.62,9.23,3.08,4.87,4.87,3.33,6.41,5.38,6.41,8.72,1.03,3.85
5.62,6.74,3.37,3.37,3.37,4.49,3.37,4.49,7.87,11.24,4.49,3.37,5.62,6.74,3.37,7.87,5.62,6.74,0.0,2.25
17.65,7.84,1.96,5.88,0.98,7.84,2.94,2.94,2.94,10.78,0.98,5.88,1.96,1.96,5.88,5.88,5.88,6.86,0.0,2.94
0.0,0.0,1.43,17.14,1.43,7.14,0.0,12.86,17.14,14.29,1.43,2.86,2.86,0.0,1.43,5.71,4.29,7.14,1.43,1.43
5.17,12.07,6.9,6.9,1.72,8.62,0.0,3.45,3.45,12.07,0.0,0.0,6.9,3.45,5.17,8.62,3.45,3.45,1.72,6.9
4.71,3.53,3.53,2.35,3.53,9.41,4.71,5.88,3.53,11.76,1.18,0.0,11.76,1.18,9.41,8.24,4.71,7.06,1.18,2.35
5.96,2.76,4.71,6.04,4.53,5.07,4.09,6.4,6.31,12.62,4.27,6.22,3.2,3.91,4.09,5.6,4.53,5.6,0.89,3.2
5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,5.26,0.0,23.68,2.63,2.63,7.89,15.79,7.89,2.63,0.0,0.0,15.79
12.21,0.21,5.05,7.58,1.89,11.37,1.89,3.37,4.21,11.16,2.11,2.32,3.58,7.79,5.05,6.95,5.89,5.68,0.42,1.26
11.43,1.9,4.29,1.43,1.43,14.76,2.86,2.86,5.71,8.57,2.86,3.33,9.52,4.76,8.1,9.52,1.9,3.81,0.48,0.48
7.4,1.66,6.07,8.39,3.75,5.85,2.54,5.74,6.07,9.71,1.99,4.53,3.53,4.08,4.3,6.73,4.86,7.17,2.1,3.53
13.24,0.74,4.41,6.62,0.0,9.56,1.47,2.21,1.47,10.29,1.47,0.74,9.56,0.0,11.76,6.62,5.15,13.24,1.47,0.0
7.41,1.48,5.19,11.85,4.44,5.93,0.74,3.7,10.37,11.85,2.22,3.7,1.48,1.48,8.15,3.7,2.96,10.37,0.0,2.96
3.33,13.33,3.33,1.67,8.33,10.0,0.0,6.67,13.33,5.0,1.67,6.67,5.0,0.0,6.67,1.67,5.0,3.33,0.0,5.0
9.87,0.53,5.07,5.6,5.6,7.47,1.87,6.4,5.33,7.2,4.8,2.67,4.27,1.87,7.2,6.4,5.6,7.73,1.33,3.2
5.26,12.28,7.02,3.51,7.02,3.51,5.26,7.02,5.26,14.04,1.75,7.02,1.75,0.0,7.02,1.75,3.51,5.26,0.0,1.75
4.11,0.59,4.69,5.13,4.11,6.6,2.05,7.62,4.69,8.65,2.2,9.53,3.81,2.93,3.81,8.65,6.74,3.81,1.76,8.5
4.86,2.24,4.67,5.98,6.92,6.17,1.87,6.17,6.92,9.16,2.62,3.93,4.49,4.3,4.86,8.41,4.49,7.29,1.68,2.99
11.01,2.64,3.52,3.08,2.2,9.25,1.76,7.05,3.08,10.57,2.2,2.64,4.85,4.41,6.17,4.41,7.49,4.85,0.44,8.37
4.44,2.38,5.53,7.04,4.01,9.43,2.49,6.5,6.07,6.93,2.06,4.66,5.42,3.14,4.12,8.34,5.74,5.53,2.06,4.12
10.54,0.19,4.79,8.24,4.79,9.0,1.92,4.6,4.98,9.2,2.3,1.34,3.64,4.41,5.94,5.94,5.17,7.66,2.11,3.26
8.75,8.75,11.25,5.0,2.5,8.75,1.25,3.75,7.5,6.25,0.0,2.5,2.5,6.25,7.5,8.75,2.5,5.0,0.0,1.25
1.61,11.29,0.0,1.61,1.61,3.23,4.84,8.06,9.68,9.68,4.84,8.06,3.23,3.23,4.84,4.84,11.29,6.45,0.0,1.61
2.63,13.16,5.26,5.26,4.39,10.53,0.88,2.63,7.89,5.26,0.88,5.26,4.39,3.51,6.14,6.14,2.63,6.14,2.63,4.39
8.83,1.77,4.59,5.12,3.36,7.24,3.18,5.83,4.77,10.95,2.65,3.36,6.01,3.0,5.3,7.6,5.3,8.3,0.53,2.3
9.09,6.82,5.68,9.09,3.41,7.95,0.0,2.27,5.68,9.09,3.41,4.55,4.55,1.14,2.27,6.82,10.23,7.95,0.0,0.0
9.64,1.32,5.86,5.86,2.46,7.94,1.7,4.91,4.54,10.02,2.46,2.84,7.75,3.4,6.05,6.99,5.29,6.99,0.95,3.02
7.17,0.75,4.15,6.42,4.15,3.77,0.75,7.92,4.53,7.92,2.64,6.04,3.77,6.79,3.77,6.79,9.81,7.55,1.13,4.15
3.85,11.54,6.41,3.85,5.13,3.85,3.85,7.69,6.41,6.41,5.13,6.41,3.85,0.0,5.13,1.28,7.69,5.13,0.0,6.41
5.22,0.75,4.48,5.22,2.99,5.97,2.24,14.18,6.72,11.19,1.49,3.73,1.49,2.99,4.48,5.97,8.21,6.72,0.75,5.22
7.74,2.88,5.31,6.19,2.88,7.52,4.87,2.88,3.98,12.17,2.43,2.88,5.31,4.65,5.31,7.74,5.97,4.2,3.54,1.55
8.51,1.06,6.38,2.66,4.26,8.51,2.66,6.91,5.32,11.17,1.6,3.72,8.51,3.19,5.85,6.38,2.13,8.51,1.06,1.6
5.34,8.4,9.92,3.82,0.76,6.11,2.29,4.58,4.58,9.16,3.05,4.58,2.29,3.82,5.34,6.11,8.4,3.82,0.76,6.87
16.67,0.0,2.08,2.08,4.17,6.25,0.0,6.25,18.75,16.67,0.0,4.17,2.08,6.25,6.25,6.25,0.0,2.08,0.0,0.0
4.67,1.97,5.75,6.46,2.33,7.36,2.51,5.92,7.54,8.8,2.33,2.87,4.85,3.59,7.54,5.57,6.64,6.64,0.54,6.1
11.05,1.35,5.16,5.67,4.04,6.51,2.97,4.99,3.37,8.64,1.91,3.31,6.06,3.65,5.33,8.14,6.06,7.58,1.29,2.92
8.26,0.51,4.72,4.38,2.7,5.4,3.04,2.19,2.19,3.88,3.2,3.71,11.97,9.61,7.25,12.98,4.05,4.38,0.17,5.4
5.26,0.0,2.63,13.16,6.58,3.95,0.0,5.26,15.79,10.53,2.63,9.21,2.63,1.32,3.95,3.95,1.32,6.58,0.0,5.26
28.4,0.0,4.94,4.94,7.41,4.94,0.0,7.41,8.64,1.23,7.41,2.47,2.47,2.47,0.0,6.17,2.47,6.17,1.23,1.23
7.04,1.41,7.04,4.23,5.63,7.04,2.82,5.63,4.23,7.04,2.82,9.86,1.41,4.23,5.63,4.23,4.23,11.27,2.82,1.41
9.36,0.99,4.93,4.93,2.46,4.93,0.99,3.94,12.81,10.84,1.97,5.42,1.97,3.94,0.99,9.85,4.93,9.85,0.49,4.43
5.62,11.24,11.24,2.25,4.49,6.74,0.0,1.12,10.11,7.87,3.37,5.62,4.49,0.0,4.49,3.37,3.37,6.74,1.12,6.74
6.0,0.81,6.0,7.5,3.46,6.23,1.61,5.65,6.46,9.11,3.23,4.84,6.69,4.84,7.15,6.0,5.19,6.34,0.69,2.19
4.6,2.13,8.7,4.76,4.93,7.88,4.27,4.93,3.94,6.9,2.13,5.75,7.22,3.45,4.11,3.94,5.58,8.37,2.79,3.61
13.79,0.69,6.9,8.97,3.45,8.97,0.69,1.38,3.45,11.03,0.69,1.38,6.21,3.45,9.66,6.21,3.45,6.21,2.07,1.38
4.86,0.9,5.59,7.03,4.32,9.19,2.88,10.81,5.95,7.57,2.88,5.05,4.5,3.24,4.86,5.59,5.41,6.85,0.18,2.34
8.45,0.82,5.99,5.72,2.18,5.99,4.09,5.45,5.18,8.72,3.0,5.18,5.18,3.0,7.36,7.9,3.54,6.54,2.18,3.54
13.68,6.32,1.05,2.11,2.11,12.63,1.05,6.32,14.74,5.26,0.0,5.26,2.11,2.11,3.16,8.42,3.16,7.37,2.11,1.05
6.1,14.63,1.22,9.76,3.66,3.66,2.44,3.66,3.66,6.1,3.66,9.76,4.88,3.66,6.1,3.66,3.66,8.54,1.22,0.0
9.04,3.39,5.08,2.82,5.65,9.04,2.82,4.52,2.26,5.65,2.26,8.47,5.65,5.08,5.65,5.08,3.95,6.78,2.26,4.52
4.46,1.34,5.36,6.7,4.46,4.91,1.79,7.59,6.47,8.48,1.56,7.59,5.58,4.02,4.69,7.14,6.47,4.69,0.67,6.03
5.72,8.08,5.13,5.22,1.94,6.65,3.54,3.37,5.13,6.31,1.01,4.88,8.92,4.21,7.58,8.84,4.46,6.31,1.26,1.43
6.21,0.67,6.61,8.1,2.56,9.31,2.56,6.07,3.78,6.21,1.08,4.86,3.78,5.13,7.69,7.96,5.13,7.15,1.48,3.64
9.43,3.77,9.43,1.89,1.89,3.77,5.66,7.55,5.66,7.55,0.0,3.77,11.32,3.77,9.43,7.55,1.89,3.77,0.0,1.89
15.02,0.0,6.87,4.72,2.15,5.15,2.58,3.43,2.15,7.73,1.29,0.86,6.01,4.29,8.58,5.15,8.58,7.3,3.0,5.15
10.42,0.0,6.25,9.38,0.0,5.21,1.04,7.29,8.33,10.42,1.04,2.08,5.21,4.17,9.38,4.17,4.17,7.29,0.0,4.17
7.61,1.56,5.54,6.06,3.98,6.75,2.42,6.23,6.75,9.17,1.38,1.9,5.88,2.6,6.75,5.54,7.44,8.3,1.56,2.6
5.17,3.45,5.17,3.45,1.72,0.0,3.45,8.62,12.07,5.17,1.72,5.17,5.17,1.72,17.24,5.17,6.9,1.72,3.45,3.45
5.98,0.53,5.05,3.72,4.25,5.98,1.99,5.71,1.33,7.97,2.66,12.62,3.05,5.18,6.37,7.44,7.44,4.78,0.93,7.04
5.95,1.87,4.76,4.76,4.08,9.69,3.06,5.95,5.61,10.37,1.7,5.78,4.25,3.4,4.93,6.8,4.93,7.82,0.68,3.57
16.67,0.98,3.92,0.98,2.94,6.86,1.96,5.88,1.96,17.65,2.94,1.96,2.94,1.96,6.86,4.9,4.9,10.78,0.98,1.96
0.0,13.95,4.65,11.63,2.33,11.63,2.33,2.33,2.33,4.65,2.33,9.3,4.65,2.33,2.33,4.65,9.3,6.98,0.0,2.33
8.02,10.49,7.41,0.62,3.09,9.26,0.62,7.41,4.32,1.85,1.23,3.09,9.88,0.0,9.88,7.41,2.47,5.56,0.62,6.79
14.08,0.0,11.27,8.45,1.41,4.23,4.23,8.45,1.41,9.86,2.82,7.04,0.0,2.82,8.45,5.63,2.82,5.63,1.41,0.0
5.32,8.51,7.45,4.26,6.38,6.38,5.32,3.19,4.26,8.51,4.26,5.32,3.19,2.13,6.38,4.26,7.45,6.38,0.0,1.06
13.1,1.19,5.95,8.33,0.0,5.95,2.38,3.57,2.38,11.9,3.57,0.0,4.76,2.38,19.05,4.76,2.38,8.33,0.0,0.0
7.59,0.0,7.59,12.66,1.27,2.53,0.0,5.06,6.33,16.46,3.8,3.8,5.06,1.27,8.86,5.06,3.8,6.33,0.0,2.53
8.68,0.75,2.64,5.28,4.15,4.91,1.89,7.17,5.66,12.83,2.26,4.91,4.15,1.89,3.02,10.94,6.04,8.68,1.89,2.26
7.41,9.88,3.7,12.35,2.47,6.17,0.0,6.17,6.17,13.58,2.47,1.23,2.47,3.7,6.17,7.41,1.23,4.94,1.23,1.23
6.25,10.0,5.0,3.75,8.75,5.0,2.5,6.25,5.0,10.0,3.75,3.75,1.25,3.75,6.25,7.5,6.25,5.0,0.0,0.0
7.41,0.23,7.41,3.94,3.7,9.72,2.08,4.63,3.01,6.71,2.31,3.94,5.09,2.08,9.72,9.03,8.1,6.02,1.62,3.24
3.25,6.5,2.44,8.13,6.5,7.32,0.81,6.5,5.69,6.5,3.25,4.07,4.88,0.0,4.07,8.13,7.32,7.32,0.81,6.5
11.76,0.74,4.41,7.35,1.47,8.09,1.47,5.15,1.47,13.97,2.21,0.0,4.41,3.68,8.09,5.15,11.03,5.88,0.74,2.94
4.42,0.63,3.47,5.05,6.31,5.36,2.52,7.89,9.46,10.41,3.15,8.2,4.1,3.15,4.73,5.05,5.99,4.1,1.89,4.1
4.37,9.29,9.84,7.65,4.92,6.56,2.73,6.56,12.57,5.46,1.64,1.64,2.73,2.19,4.37,6.56,3.28,4.37,1.09,2.19
12.84,3.67,4.59,6.42,0.0,4.59,0.0,5.5,0.0,10.09,2.75,1.83,6.42,0.0,13.76,7.34,4.59,13.76,1.83,0.0
12.24,0.0,3.06,2.59,7.29,8.24,0.94,11.76,3.53,12.94,3.29,2.82,4.0,2.59,3.76,6.59,3.76,7.76,0.94,1.88
4.67,1.22,3.46,5.28,7.11,5.89,1.22,8.74,4.07,11.59,2.44,4.07,4.47,3.86,4.88,9.15,7.52,6.91,0.61,2.85
7.87,0.56,3.37,2.81,6.74,11.8,3.37,5.62,2.81,8.99,1.12,3.37,5.06,5.62,4.49,7.3,7.3,3.37,3.93,4.49
7.27,0.28,3.72,4.66,2.5,3.16,1.33,6.05,3.11,5.44,0.67,4.05,6.22,2.72,1.66,24.25,11.82,6.27,0.11,4.72
21.48,0.74,7.41,7.41,4.44,8.89,0.74,4.44,11.85,5.93,2.96,0.74,5.19,0.74,0.74,6.67,2.22,6.67,0.74,0.0
0.0,7.06,7.06,9.41,2.35,7.06,3.53,1.18,5.88,15.29,4.71,2.35,4.71,1.18,8.24,8.24,4.71,3.53,1.18,2.35
5.0,7.33,8.72,5.58,3.02,7.21,2.21,4.19,4.19,7.67,1.28,4.77,4.53,3.95,5.35,8.14,5.81,6.74,2.33,1.98
4.33,1.24,1.55,4.02,8.36,4.64,1.55,13.62,5.26,12.69,1.86,6.81,2.79,1.86,3.41,6.81,6.19,5.57,2.17,5.26
2.44,4.88,2.44,2.44,2.44,4.88,0.0,7.32,4.88,17.07,2.44,14.63,0.0,2.44,4.88,12.2,2.44,12.2,0.0,0.0
10.14,0.0,0.46,2.76,4.15,10.6,0.0,10.6,1.38,11.98,4.61,2.76,5.07,2.76,5.07,3.23,6.91,12.44,1.38,3.69
